Per-Step Global Mean:
Step 0: -5.527635183827e-10, -7.603833892195e-10, 3.686604122743e-10, -3.990562725655e-08, 9.178914718927e-09, 2.322201292798e+02
Step 1: -1.984169572593e-08, -5.528742240977e-08, 1.250712083487e-02, -9.593571626040e-01, -4.964966645584e+00, 1.720631030151e+06
Step 2: -2.599253309214e-08, -8.865294777609e-08, 2.507243094910e-02, -1.490625556471e+00, -7.630183117108e+00, 2.732607367942e+06
Step 3: -3.385297908933e-08, -1.319675926344e-07, 3.770700048545e-02, -1.827664452468e+00, -1.081101506716e+01, 2.864576182703e+06
Step 4: -3.932588605434e-08, -1.716146871862e-07, 5.026747387350e-02, -5.855170908022e-01, -6.182839538437e+00, 3.232149250225e+06
Step 5: -4.022355620279e-08, -1.815912670808e-07, 6.277518449776e-02, -1.730587795598e-01, -9.741572515517e-01, 4.517448990905e+06
Step 6: -4.258931726956e-08, -1.861999349189e-07, 7.530862197432e-02, -2.142466885056e+00, -4.693697828326e+00, 5.792588277680e+06
Step 7: -5.016257656768e-08, -2.037913316638e-07, 8.785421802780e-02, -5.038325757808e+00, -1.143265290625e+01, 6.165056543659e+06
Step 8: -6.327483314912e-08, -2.278721334013e-07, 1.004978119483e-01, -7.725199396207e+00, -1.131648060951e+01, 6.148691980778e+06
Step 9: -8.210341725681e-08, -2.495208091118e-07, 1.130586469319e-01, -1.058999519168e+01, -9.769524366686e+00, 6.138453969588e+06
Step 10: -1.065243417088e-07, -2.677345519979e-07, 1.256102083683e-01, -1.309955509828e+01, -7.947760396584e+00, 6.137337707648e+06
Step 11: -1.354829188652e-07, -2.818812043528e-07, 1.381602519100e-01, -1.499996152574e+01, -5.797357317263e+00, 6.137471336022e+06
Step 12: -1.676608125223e-07, -2.913241646916e-07, 1.507094491594e-01, -1.627601583313e+01, -3.368467712916e+00, 6.137686549519e+06
Step 13: -2.018861245456e-07, -2.955888261271e-07, 1.632568118180e-01, -1.696707014490e+01, -7.599593124518e-01, 6.137881806035e+06
Step 14: -2.368970889387e-07, -2.944049010918e-07, 1.758038724460e-01, -1.704740595862e+01, 1.931282905172e+00, 6.138053634674e+06
Step 15: -2.714783168301e-07, -2.877100709558e-07, 1.883507528059e-01, -1.656748020421e+01, 4.594603435386e+00, 6.138200880763e+06
Step 16: -3.046674109485e-07, -2.756548733806e-07, 2.008966983885e-01, -1.566830124461e+01, 7.124700847358e+00, 6.138323252657e+06
Step 17: -3.356012648658e-07, -2.586397741513e-07, 2.134422601677e-01, -1.438252119792e+01, 9.422526500554e+00, 6.138423423121e+06
Step 18: -3.637374199417e-07, -2.370438140962e-07, 2.260740251643e-01, -1.271231344589e+01, 1.138993069145e+01, 6.138510685739e+06
Step 19: -3.879433155004e-07, -2.119824218553e-07, 2.386414886048e-01, -1.072983101635e+01, 1.286492677178e+01, 6.138597925097e+06
Step 20: -4.077951657046e-07, -1.845639609704e-07, 2.511924200994e-01, -8.518239910680e+00, 1.366151748063e+01, 6.138707654874e+06
Step 21: -4.224559459083e-07, -1.574453425192e-07, 2.633633936381e-01, -6.274422723947e+00, 1.348648190237e+01, 6.138866881364e+06
Step 22: -4.333387686862e-07, -1.300733371587e-07, 2.762811874918e-01, -3.975940240181e+00, 1.196195560310e+01, 6.139100238627e+06
Step 23: -4.395551933544e-07, -1.079246832680e-07, 2.890048910976e-01, -2.080805469900e+00, 9.053584863719e+00, 6.139338034863e+06
Step 24: -4.422919709251e-07, -9.289939022183e-08, 3.013720409417e-01, -7.772172950150e-01, 5.758145276817e+00, 6.139470787751e+06
Step 25: -4.429237462994e-07, -8.352839431895e-08, 3.144956356333e-01, 2.670934175415e-02, 3.101789145752e+00, 6.139489039901e+06
Step 26: -4.423631196703e-07, -7.887858630665e-08, 3.264640171631e-01, 4.027731017553e-01, 1.711214322743e+00, 6.139452645151e+06
Step 27: -4.411403275386e-07, -7.604665545168e-08, 3.396075010498e-01, 6.104241859149e-01, 9.403413887644e-01, 6.139395389075e+06
Step 28: -4.397185614958e-07, -7.452260599622e-08, 3.515561406590e-01, 7.138594333309e-01, 5.802763506878e-01, 6.139339109151e+06
Step 29: -4.379570379237e-07, -7.344787231379e-08, 3.646996372210e-01, 7.891989581781e-01, 3.579256838265e-01, 6.139275767098e+06
Step 30: -4.362374555015e-07, -7.279847420290e-08, 3.766482567052e-01, 8.418337136706e-01, 2.331063827027e-01, 6.139217256328e+06
Step 31: -4.342226153069e-07, -7.233321770858e-08, 3.897917584854e-01, 8.930131493620e-01, 1.323707203846e-01, 6.139152483213e+06
Step 32: -4.323108121067e-07, -7.206665064899e-08, 4.017403888221e-01, 9.361157049927e-01, 5.757527620205e-02, 6.139093037891e+06
Step 33: -4.300877874629e-07, -7.193327925272e-08, 4.148838857746e-01, 9.840642703276e-01, -1.771566613283e-02, 6.139027299338e+06
Step 34: -4.279900867368e-07, -7.192922392857e-08, 4.268325257165e-01, 1.027774913709e+00, -7.890507160728e-02, 6.138966905108e+06
Step 35: -4.255602948354e-07, -7.207832832019e-08, 4.399760138811e-01, 1.076182202162e+00, -1.471705915501e-01, 6.138900128556e+06
Step 36: -4.232674886571e-07, -7.232486760253e-08, 4.519246509208e-01, 1.119696294129e+00, -1.973264453522e-01, 6.138839191960e+06
Step 37: -4.206298370517e-07, -7.270975735399e-08, 4.650681366388e-01, 1.171185322178e+00, -2.655341544587e-01, 6.138771405873e+06
Step 38: -4.181411942506e-07, -7.319257276217e-08, 4.770167691150e-01, 1.217418453882e+00, -3.209210705546e-01, 6.138709365106e+06
