filepath,distgen_total_charge
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/b024dd4c87bfaf735eba75da08982f58.h5,5.076403430652383e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/11a930f41a8718e999db8d6ac91c949f.h5,5.087208712280386e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/578e82e07ba7cfb19f6f1fda0f964e77.h5,5.072284676088476e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/874261b7e3a27dcd0ea78d70f61c5033.h5,5.053464805481687e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/502e3f6e81d1cba8a22b20710d69b2ce.h5,5.08392750426063e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/f85e0e09620e8d5ddbf9c32227f72bbd.h5,5.051042353348029e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/75cab9f91af45d085a68e2c661636780.h5,5.048952052961593e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/11653da6aa124915487c68a8feacd15b.h5,5.035558177805142e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/b002eeb202abbe5b5bfbcdd31501fcc2.h5,5.017994987285555e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/246f8bf73eed52d676623bca288337af.h5,5.066707863619134e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/bc473743e110b073a0ba7fe5389ebf44.h5,5.066093297439882e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/a43f626fd701ff0293e3965a94c6253c.h5,5.056498578789625e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/fe3e26e34868dafa2fe6027677194654.h5,5.099220916632417e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/926352eb5fb1766c4d9d18fc3dc00d46.h5,5.075983349583956e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/f72971298d930784684bd652f1b44e74.h5,5.082847943898787e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/66ef6a74ae755a142d305f885258f0fc.h5,5.03147794288274e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/1384cd4dc8853ca1407e0272e9034669.h5,5.00042693867744e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9dfdef0b05bbb856c05dcaa5f9144646.h5,5.011257949111336e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/6d5e2a1b625c136ed6e78e0381b8fb89.h5,5.081611448953132e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/66441cf81189296fd13c8a32c9744cd4.h5,5.00552065425219e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/93c0d76a897a4427eaddea6228a0f3d4.h5,5.056468754217863e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/d7b3c9191df4f9b947e0d1332931c8d5.h5,5.004947814505728e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/c96013080aabb677a1b6497133a62a0b.h5,5.082847943898787e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/2af735d9cd913e0cd5db539d94a5c5e7.h5,5.056570684412659e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/ac6d149cf58a38adc90ccbc7725ca93c.h5,5.011939644038594e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/7a2cf54ead9180462805f77db74057d1.h5,5.011796217449543e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/59048045be6e258bb2e489c50af7721c.h5,5.057557647713452e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/02cdc3966fa4cef3749ffd6ddb53d121.h5,5.034310404912556e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/c56383b6fa02c8a33566a514e2821c91.h5,5.056570684412659e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/3bbe337fe1e9b078fe3ac5673aac9878.h5,5.07000565710086e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/0f6709fe24c061bfa1f1d6236c8918cd.h5,5.083191271468784e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9e4bdf02a68a58b25e5740d53dc8b833.h5,5.049587386123727e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/2c1cc88e76a0030df10de0a1eabc53f2.h5,5.077663984078597e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/26f8c92f9a38246fd113fb033140c282.h5,5.0294007026318e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9edc5a1e9f53669a689b1c20fdd3af7a.h5,5.036770639035987e-10
