filename,norm_emit_x,norm_emit_y,norm_emit_z,SOL10111:solenoid_field_scale,CQ10121:b1_gradient,SQ10122:b1_gradient,GUNF:rf_field_scale,GUNF:theta0_deg,distgen:total_charge
/sdf/data/ad/ard/u/tiffan/Archive_5/ea3289d26fd9844939eb40c0e0346a7f.h5,5.1646522e-06,6.0220927e-06,1.1059845e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/d30f828780a5972d34c4d732569e9371.h5,4.9063738e-06,5.6596109e-06,1.2124495e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/ab71c1a6c4e6948a12c92347bc02141c.h5,4.9063784e-06,5.6596273e-06,1.2124572e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/d3bcfa83546f32534e2af9858d25482c.h5,4.958893e-06,5.712334e-06,1.1660071e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/183fb65c2154c4e28eb2f3354347e8b2.h5,4.9090026e-06,5.6614542e-06,1.2106929e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/e6fd73809ddac36ef027562090140d05.h5,5.8279288e-06,7.2130635e-06,1.4637689e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/31669a60a5dda2708de94ebc31959d03.h5,4.9124509e-06,5.6666434e-06,1.2089364e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/2308c6b5f51704d13d0da71854c3a7c1.h5,4.9064262e-06,5.6596571e-06,1.2124335e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/f74016d9311b5b9e9e1dd77f33204ff1.h5,5.0543591e-06,5.9207984e-06,1.2325636e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/a614aec8f0742ae5c2c2ef9f21fa7559.h5,4.9066261e-06,5.6600804e-06,1.211924e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/d43f3eeb8a96aef7bdfc88b26b7a6eba.h5,5.0795e-06,6.0140281e-06,1.078449e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/40c73b690c1d32b87f837d6939ee0afd.h5,4.9068635e-06,5.6599449e-06,1.212473e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/01e6417d812d00d96ffd82aae80dea6d.h5,6.435275e-06,7.725143e-06,1.5723955e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/4d16d4cd3b063b5c6f5026057867021d.h5,1.0327023e-05,1.1994886e-05,2.0594102e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/26047955bff83a67be156d071b5c998d.h5,4.9064129e-06,5.6595689e-06,1.2124123e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/6b5ee23dd48ead0239b267e655f652a0.h5,5.0486396e-06,5.8830388e-06,1.1832573e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/bb55675bc260abae06a647676f3ac8fd.h5,5.0140423e-06,5.7983239e-06,1.210466e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/b6187553578688517c879775121e78d9.h5,4.9457315e-06,5.7121325e-06,1.1810691e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/0e5b87974c445bd72ea41e162005614a.h5,5.8955158e-06,7.3069007e-06,1.4089273e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/07fa00092603e8e481ee56f274b19b96.h5,5.5467172e-06,6.2835031e-06,1.2122808e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/430226116e5b08f100e1c15757b25704.h5,4.9063793e-06,5.6595669e-06,1.2124345e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/f00806500334e596ee1705e43821df53.h5,4.965754e-06,5.7287302e-06,1.1643568e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/576ac0fcf5bcde79553eee0421d62873.h5,4.9080467e-06,5.6633167e-06,1.2122297e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/f26021691d69caa67c9f1ee0d9837174.h5,4.9614865e-06,5.700781e-06,1.2111499e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/6b19b2bb4381911ffb75cd328aa450eb.h5,4.9191137e-06,5.6884826e-06,1.2112414e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/83192c6bc5d022a2f2d2058febfe42f6.h5,4.9064108e-06,5.6595474e-06,1.2123835e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/9e629f1c6e80c4d5669bb61c347944dd.h5,6.4728877e-06,6.8713605e-06,1.214205e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/b6cbe2f81f48f6bfc598d4c0bcc5fdf0.h5,5.5023365e-06,6.5214953e-06,1.1512869e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/aff09724d728f6c7e494827ff7184767.h5,7.1527858e-06,8.1973477e-06,1.9658132e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/033c28ba3d6f7dd9cac15c1a0c9fdee9.h5,4.9122496e-06,5.6634288e-06,1.201242e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/5c505453f8d6ec21b51a3dc6ad50e414.h5,4.9070225e-06,5.6596752e-06,1.2122864e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/7d7c03a040e22c513e1b5a237c5e23be.h5,5.162634e-06,6.0888956e-06,1.1326399e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/b823f920fa3a243b382ab7405ed21031.h5,4.9366515e-06,5.6966945e-06,1.2122125e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/2fa79e789325731a86eb0a8a070a7211.h5,5.4424045e-06,6.438396e-06,1.1555348e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/305f86b0fcea8ffeaf95566739a2f873.h5,4.907025e-06,5.6602428e-06,1.2122401e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/d67779767b821483ca3cc995441db0b0.h5,5.0690103e-06,5.9516534e-06,1.2356721e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/0d3150435cd51edc25d631c77488b9cd.h5,5.3209736e-06,6.2113278e-06,1.1531717e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/4d37d30a17d658f7ec04723e39628afd.h5,5.0377943e-06,5.9228371e-06,1.223403e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/bb4f308994170cd087d4f7461078e17c.h5,6.2957988e-06,7.0521814e-06,1.2157199e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/cda069b5c58cc7a86974b9bd5b0923cb.h5,4.9064021e-06,5.6595626e-06,1.2123403e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/f5525281861237aa0549f6cef26d21b0.h5,5.047552e-06,5.9060686e-06,1.1120172e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/adc90a7112daeebf229981420c01df4a.h5,8.5808854e-06,8.698363e-06,2.3185947e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/c23eb722aa8edfdb6535220cfa546272.h5,4.906405e-06,5.6596398e-06,1.2123972e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/aefd25064e1efea78b6ca556fb1a4c66.h5,4.9063865e-06,5.6595702e-06,1.2124452e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/87bcd5f904ca49a254338bebc451c3a2.h5,5.0792305e-06,5.9701834e-06,1.2371167e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/d24b0ba9672645eb650235e12fb2ef0c.h5,4.9514256e-06,5.6947349e-06,1.2125747e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/9ec74b6cc52ee7470746f5df3ba26ee5.h5,6.9934349e-06,8.4974835e-06,1.5346026e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/74cce948564b61f468076451b83b264d.h5,7.4066409e-06,8.6126713e-06,1.5808253e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/72e3306af2e0402c7a0d41a0b28d7e8e.h5,4.9165167e-06,5.6698578e-06,1.1995021e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/e063315cbca6cb46fd8f68d774d21a7b.h5,4.9222404e-06,5.6649386e-06,1.2107192e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/2dcbb260acf40430380a06e25fdb7c30.h5,4.9064177e-06,5.6594459e-06,1.2123639e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/1edf9c42c090693243e301128d52826b.h5,4.993347e-06,5.7581815e-06,1.2128031e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/3b5397ec08177a1044d7bb21ac4cc0a1.h5,4.9144662e-06,5.6613195e-06,1.1904672e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/30517810eca12105271f0cfbdc6609ba.h5,5.304051e-06,6.2963723e-06,1.1105e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/e69ccfabbc910ce146c0fcb61defe3dd.h5,4.9064041e-06,5.6596756e-06,1.2124594e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/72ec3ac59f41ed31568917b98de0101b.h5,5.5821757e-06,6.9768187e-06,1.3563321e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/33cecb8e27c0c266da9cb58c6450d5c9.h5,4.9066891e-06,5.6595286e-06,1.2121427e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/22ecc2b9930b9bda56c324bdc6ef91c1.h5,5.2342719e-06,5.9647776e-06,1.1982044e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/3f03a5f577d7c5bfada7b56c3e04ee4d.h5,4.9072083e-06,5.6593439e-06,1.2101471e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/9f901c4e9571a3ce9eeeceec65d2fba0.h5,5.1385045e-06,6.0286943e-06,1.1549347e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/4a437534ece518b6a2b3f53d43ebe70b.h5,5.8728101e-06,6.5921265e-06,1.154391e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/8b1629d1a43a7edd118034104494f826.h5,4.9065986e-06,5.6602405e-06,1.2123934e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/47cb0e64ef6e2d7add7e442469590764.h5,4.9290294e-06,5.6696321e-06,1.1493813e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/3839f3718f58495e2690970ed2bf4356.h5,4.9262657e-06,5.6739024e-06,1.2036666e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/d05144bbad5e7abc1b0de7c651daa1cb.h5,5.001329e-06,5.7892367e-06,1.1628279e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/cc76f99b2bc5ef925e9c6e4b857ce686.h5,4.9064923e-06,5.660254e-06,1.2124446e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/830eb310067600cb96728da47d902da9.h5,4.9066215e-06,5.6592598e-06,1.2124095e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/04d01bde52183e28b804a9aeb6e59cda.h5,8.0588039e-06,8.5445851e-06,1.2071588e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/62928d53870650c026b549615e60dba5.h5,4.9063965e-06,5.6595573e-06,1.2124636e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/69ab578d5deea6dd91a98cf9cf715c4f.h5,4.9603916e-06,5.7551442e-06,1.2198923e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/5894e53f0287b6e4dfc687c6f7c1774e.h5,4.9063782e-06,5.6596172e-06,1.2124311e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/bb6824e9ece60ae471a7b0c1eeb3e6ec.h5,4.9271352e-06,5.6792624e-06,1.1971274e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/45144bad93e251ace93b62f569616b31.h5,4.9063775e-06,5.659559e-06,1.2124518e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/bbcf202acd4a6a2739b83699c56e8316.h5,4.9910388e-06,5.8231315e-06,1.2132104e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/97760be110e56508f68035802d2936ac.h5,4.9345997e-06,5.6913047e-06,1.1842618e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/241e0bdd57f122ba2985440e835791d6.h5,4.9063893e-06,5.6595405e-06,1.2124384e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
